timestamp,VOC,CH4,SMOKE,CO,ODOR,label
63680,365,461,149,77,562,cola
63696,365,460,150,77,561,cola
63712,365,459,150,77,561,cola
63728,365,460,150,76,561,cola
63744,365,460,150,76,561,cola
63760,364,460,150,76,560,cola
63776,364,461,150,77,560,cola
63792,365,461,150,77,560,cola
63808,366,463,150,77,559,cola
63824,367,464,150,77,559,cola
63840,368,466,151,78,559,cola
63856,367,467,151,78,559,cola
63872,366,468,152,79,560,cola
63888,364,465,152,80,560,cola
63904,363,457,152,80,560,cola
63920,361,447,153,81,560,cola
63936,358,439,152,81,561,cola
63952,356,433,151,82,562,cola
63968,354,429,151,82,562,cola
63984,354,430,150,82,563,cola
64000,354,434,150,83,564,cola
64016,354,438,150,83,565,cola
64032,354,442,150,83,565,cola
64048,354,445,151,83,565,cola
64064,353,446,151,83,565,cola
64080,353,446,151,83,566,cola
64096,352,442,151,83,566,cola
64112,351,435,152,84,567,cola
64128,351,427,151,84,567,cola
64144,349,422,150,84,568,cola
64160,348,418,149,84,570,cola
64176,347,417,147,85,571,cola
64192,346,416,146,84,573,cola
64208,346,418,145,84,575,cola
64224,345,422,144,84,577,cola
64240,345,425,144,84,578,cola
64256,344,427,144,84,579,cola
64272,344,428,144,84,580,cola
64288,344,429,144,84,581,cola
64304,343,431,144,84,581,cola
64320,344,434,145,84,581,cola
64336,343,436,145,85,582,cola
64352,342,436,145,84,582,cola
64368,342,431,146,85,583,cola
64384,341,425,146,85,583,cola
64400,341,422,146,85,584,cola
64416,341,424,146,86,584,cola
64432,342,430,147,86,584,cola
64448,343,438,148,85,584,cola
64464,344,445,149,85,584,cola
64480,344,450,150,85,584,cola
64496,345,456,150,85,583,cola
64512,348,462,151,84,581,cola
64528,351,466,152,83,580,cola
64544,355,469,152,83,579,cola
64560,358,471,151,82,578,cola
64576,359,473,152,82,577,cola
64592,359,474,152,82,576,cola
64608,358,473,152,81,575,cola
64624,357,474,152,82,575,cola
64640,356,473,152,82,575,cola
64656,356,473,152,82,575,cola
64672,356,473,152,83,574,cola
64688,355,473,152,83,574,cola
64704,356,474,152,84,574,cola
64720,356,474,153,84,574,cola
64736,356,475,153,85,575,cola
64752,355,475,154,86,575,cola
64768,355,474,154,86,576,cola
64784,354,472,155,87,577,cola
64800,354,466,155,88,579,cola
64816,353,460,155,88,581,cola
64832,352,452,155,88,584,cola
64848,352,447,155,89,587,cola
64864,352,444,155,89,590,cola
